date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:11	56799/56799	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Mar%202020%2011:58:10%20GMT	https://dental.eyesandsmiles.co.uk/	/home/saroj/websites/https://dental.eyesandsmiles.co.uk/dental.eyesandsmiles.co.uk/index.html	(from )
17:28:11	25/25	---M--	200	added ('OK')	text/plain	date:Tue,%2003%20Mar%202020%2007:04:14%20GMT	https://dental.eyesandsmiles.co.uk/robots.txt		(from )
17:28:16	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	/home/saroj/websites/https://dental.eyesandsmiles.co.uk/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://dental.eyesandsmiles.co.uk/)
17:28:18	993/993	---MC-	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2011:58:17%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:400italic,600italic,400,600	/home/saroj/websites/https://dental.eyesandsmiles.co.uk/fonts.googleapis.com/css6454.css	(from https://dental.eyesandsmiles.co.uk/)
17:28:18	388307/388307	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2011:58:16%20GMT	https://dental.eyesandsmiles.co.uk/templates_css/css/stylesheet.css?sid=6427&v=030320	/home/saroj/websites/https://dental.eyesandsmiles.co.uk/dental.eyesandsmiles.co.uk/templates_css/css/stylesheet42e8.css	(from https://dental.eyesandsmiles.co.uk/)
17:28:19	120676/120676	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2003%20Mar%202020%2011:58:18%20GMT	https://dental.eyesandsmiles.co.uk/scripts/map.php?msid=6427	/home/saroj/websites/https://dental.eyesandsmiles.co.uk/dental.eyesandsmiles.co.uk/scripts/map7cc5.php	(from https://dental.eyesandsmiles.co.uk/)
17:28:20	93099/93099	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2006:39:04%20GMT	https://dental.eyesandsmiles.co.uk/scripts/jquery.min.js?v=030320	/home/saroj/websites/https://dental.eyesandsmiles.co.uk/dental.eyesandsmiles.co.uk/scripts/jquery.min3074.js	(from https://dental.eyesandsmiles.co.uk/)
17:28:21	228077/228077	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2007:04:14%20GMT	https://dental.eyesandsmiles.co.uk/scripts/jquery-ui.min.js?v=030320	/home/saroj/websites/https://dental.eyesandsmiles.co.uk/dental.eyesandsmiles.co.uk/scripts/jquery-ui.min3074.js	(from https://dental.eyesandsmiles.co.uk/)
17:28:22	39680/39680	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2007:04:14%20GMT	https://dental.eyesandsmiles.co.uk/scripts/bower_components/bootstrap/dist/js/bootstrap.min.js?v=030320	/home/saroj/websites/https://dental.eyesandsmiles.co.uk/dental.eyesandsmiles.co.uk/scripts/bower_components/bootstrap/dist/js/bootstrap.min3074.js	(from https://dental.eyesandsmiles.co.uk/)
17:28:24	23035/23035	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2007:04:14%20GMT	https://dental.eyesandsmiles.co.uk/scripts/owl.carousel.min.js?v=030320	/home/saroj/websites/https://dental.eyesandsmiles.co.uk/dental.eyesandsmiles.co.uk/scripts/owl.carousel.min3074.js	(from https://dental.eyesandsmiles.co.uk/)
17:28:25	3145/3145	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2007:03:24%20GMT	https://dental.eyesandsmiles.co.uk/scripts/jquery-navtoselect.js?v=030320	/home/saroj/websites/https://dental.eyesandsmiles.co.uk/dental.eyesandsmiles.co.uk/scripts/jquery-navtoselect3074.js	(from https://dental.eyesandsmiles.co.uk/)
